Date,asset1,holdings1,cash1,total asset1,return1,positions1,asset2,holdings2,cash2,total asset2,return2,positions2,z,total asset,z upper limit,z lower limit
2014-06-03,4.715000152587891,-17841.560577392578,37415.85805130005,19574.29747390747,0.003881297104631809,0.0,3.940000057220459,16906.54024553299,4466.580491065979,21373.12073659897,-0.0059869208258144235,0.0,-0.49487476859776597,40947.41821050644,0.45594600925079265,-0.37031754716565835
2014-06-04,4.71999979019165,0.0,19555.378845214844,19555.378845214844,-0.0009665035855230819,1.0,4.039999961853027,0.0,21802.22032737732,21802.22032737732,0.02007659976596532,-1.0,-0.2593614860367393,41357.59917259216,0.45594600925079265,-0.37031754716565835
2014-06-05,4.739999771118164,0.0,19555.378845214844,19555.378845214844,0.0,0.0,4.079999923706055,0.0,21802.22032737732,21802.22032737732,0.0,0.0,-0.18870205808699939,41357.59917259216,0.45594600925079265,-0.37031754716565835
2014-06-06,4.757500171661377,0.0,19555.378845214844,19555.378845214844,0.0,0.0,4.059999942779541,0.0,21802.22032737732,21802.22032737732,0.0,0.0,-0.2600049119323035,41357.59917259216,0.45594600925079265,-0.37031754716565835
2014-06-09,4.762499809265137,0.0,19555.378845214844,19555.378845214844,0.0,0.0,4.070000171661377,0.0,21802.22032737732,21802.22032737732,0.0,0.0,-0.24233901003288028,41357.59917259216,0.45594600925079265,-0.37031754716565835
2014-06-10,4.787499904632568,0.0,19555.378845214844,19555.378845214844,0.0,0.0,4.199999809265137,0.0,21802.22032737732,21802.22032737732,0.0,0.0,0.0396271709885127,41357.59917259216,0.45594600925079265,-0.37031754716565835
2014-06-11,4.849999904632568,0.0,19555.378845214844,19555.378845214844,0.0,0.0,4.289999961853027,0.0,21802.22032737732,21802.22032737732,0.0,0.0,0.17571973222259163,41357.59917259216,0.45594600925079265,-0.37031754716565835
2014-06-12,4.880000114440918,0.0,19555.378845214844,19555.378845214844,0.0,0.0,4.289999961853027,0.0,21802.22032737732,21802.22032737732,0.0,0.0,0.13647659043147084,41357.59917259216,0.45594600925079265,-0.37031754716565835
2014-06-13,4.885000228881836,0.0,19555.378845214844,19555.378845214844,0.0,0.0,4.28000020980835,0.0,21802.22032737732,21802.22032737732,0.0,0.0,0.10573121130183695,41357.59917259216,0.45594600925079265,-0.37031754716565835
2014-06-16,4.869999885559082,18428.079566955566,1127.2992782592773,19555.378845214844,0.0,1.0,4.440000057220459,-19052.04024553299,40854.26057291031,21802.22032737732,0.0,-1.0,0.5126383523155258,41357.59917259216,0.45594600925079265,-0.37031754716565835
